maintopic,name,Speech Time (Hrs)
Introduction of Visitors,Kaleed Rasheed,0.043444444444444445
Unknown,Lisa M. Thompson,0.04066666666666667
Unknown,Neil Lumsden,0.04055555555555555
Introduction of Government Bills,Jill Dunlop,0.04033333333333333
Unknown,Michael A. Tibollo,0.039
Unknown,Prabmeet Singh Sarkaria,0.03822222222222223
Introduction of Visitors,Caroline Mulroney,0.03744444444444445
Private Members’ Public Business,Paul Calandra,0.03722222222222222
Introduction of Government Bills,Peter Bethlenfalvy,0.036222222222222225
Petitions,Paul Calandra,0.036
Introduction of Visitors,Parm Gill,0.035777777777777776
Unknown,Todd J. McCarthy,0.035111111111111114
Unknown,Monte McNaughton,0.034888888888888886
Unknown,Kinga Surma,0.03366666666666667
Introduction of Visitors,Todd J. McCarthy,0.03333333333333333
Introduction of Government Bills,Parm Gill,0.032
Introduction of Government Bills,Todd J. McCarthy,0.030555555555555555
Introduction of Visitors,Andrea Khanjin,0.027555555555555555
Introduction of Visitors,Merrilee Fullerton,0.02711111111111111
Unknown,George Pirie,0.026666666666666665
Unknown,Vijay Thanigasalam,0.026333333333333334
Introduction of Bills,Paul Calandra,0.02633333333333333
Introduction of Government Bills,Stephen Lecce,0.025555555555555557
Introduction of Visitors,Kinga Surma,0.023666666666666666
Unknown,Kaleed Rasheed,0.02311111111111111
Motions,Andrea Khanjin,0.02188888888888889
Introduction of Visitors,George Pirie,0.021666666666666667
Introduction of Government Bills,George Pirie,0.019444444444444445
Unknown,Raymond Sung Joon Cho,0.019333333333333334
Introduction of Bills,Steve Clark,0.01888888888888889
Introduction of Government Bills,David Piccini,0.018666666666666668
Introduction of Visitors,Greg Rickford,0.018333333333333333
Introduction of Bills,Parm Gill,0.018111111111111113
Introduction of Government Bills,Lisa M. Thompson,0.017666666666666667
Introduction of Visitors,Prabmeet Singh Sarkaria,0.016555555555555556
Introduction of Visitors,Vijay Thanigasalam,0.015222222222222222
Deferred Votes,Lisa M. Thompson,0.013111111111111112
Deferred Votes,Michael A. Tibollo,0.011555555555555557
Deferred Votes,Stephen Lecce,0.011444444444444445
Introduction of Visitors,Steve Clark,0.011333333333333334
Deferred Votes,Raymond Sung Joon Cho,0.010333333333333333
Introduction of Bills,Peter Bethlenfalvy,0.01011111111111111
Introduction of Visitors,Rob Flack,0.01
Introduction of Bills,Lisa M. Thompson,0.009111111111111111
Introduction of Government Bills,Monte McNaughton,0.00911111111111111
Introduction of Government Bills,Todd Smith,0.00911111111111111
Deferred Votes,Stan Cho,0.008666666666666666
Introduction of Bills,Jill Dunlop,0.008333333333333335
Motions,Michael Parsa,0.008222222222222221
Introduction of Government Bills,Kinga Surma,0.00811111111111111
Unknown,Parm Gill,0.007
Deferred Votes,Steve Clark,0.0064444444444444445
Deferred Votes,David Piccini,0.0064444444444444445
Members’ Statements,Paul Calandra,0.006333333333333333
Members’ Statements,Vijay Thanigasalam,0.0061111111111111106
Introduction of Bills,Prabmeet Singh Sarkaria,0.006
Unknown,Doug Downey,0.005666666666666666
Introduction of Government Bills,Sylvia Jones,0.0051111111111111105
Introduction of Bills,George Pirie,0.004888888888888889
Introduction of Bills,Stephen Lecce,0.004555555555555555
Deferred Votes,Michael Parsa,0.004555555555555555
Introduction of Government Bills,Prabmeet Singh Sarkaria,0.0044444444444444444
Introduction of Bills,Kinga Surma,0.0044444444444444444
